episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.35640724998665974,True,False
2,490.0,722,1107,0.1,0.023693526500008173,1.5524874160182662,True,False
3,950.0,642,1749,0.1,0.026536711670244285,7.313288250006735,True,False
4,1260.0,746,2495,0.1,0.03371019997904377,13.501212750037666,True,False
5,710.0,631,3126,0.1,0.035211398450457315,18.860924582986627,True,False
6,420.0,428,3554,0.1,0.03553417499642819,22.384388333011884,True,False
7,300.0,420,3974,0.1,0.03670494463738232,26.30454733298393,True,False
8,260.0,451,4425,0.1,0.03575832257356363,29.951544374984223,True,False
9,370.0,395,4820,0.1,0.0374226722621707,33.112129290995654,True,False
10,950.0,784,5604,0.1,0.03951748585380728,39.57290525001008,True,False
11,630.0,625,6229,0.1,0.041488184429442465,44.78249341598712,True,False
12,260.0,381,6610,0.1,0.03716185164000643,48.04050737502985,True,False
13,580.0,500,7110,0.1,0.03515641349181533,52.238466916023754,True,False
14,1270.0,644,7754,0.1,0.038729496507743454,57.81170116603607,True,False
15,320.0,424,8178,0.1,0.035926927296216334,61.530048249987885,True,False
16,2410.0,941,9119,0.1,0.038051946223911615,69.08053133299109,True,False
17,890.0,796,9915,0.1,0.039622763719938545,76.1415725830011,True,False
18,840.0,664,10579,0.1,0.03792498081625181,82.02037708298303,True,False
19,440.0,379,10958,0.1,0.03940917056936182,85.61029366601724,True,False
20,810.0,749,11707,0.1,0.03864384545162718,92.0712250409997,True,False
21,680.0,657,12364,0.1,0.03777174489911307,97.60167450003792,True,False
22,1040.0,957,13321,0.1,0.037485321796651164,106.17355612502433,True,False
23,950.0,817,14138,0.1,0.038298069976507594,113.71153887500986,True,False
24,760.0,690,14828,0.1,0.03711995548391015,119.89007204101654,True,False
25,340.0,426,15254,0.1,0.037368728392669616,123.62836233299458,True,False
26,1400.0,787,16041,0.1,0.03659446181866534,131.9246659160126,True,False
27,790.0,646,16687,0.1,0.0397233636008564,137.55610562500078,True,False
28,1560.0,1116,17803,0.1,0.03899446995361411,147.56757716601714,True,False
29,1160.0,604,18407,0.1,0.0418482625375915,152.8680414580158,True,False
30,1450.0,755,19162,0.1,0.039476768098889836,159.5623783750343,True,False
31,360.0,442,19604,0.1,0.039335535495197985,163.57399250002345,True,False
32,900.0,745,20349,0.1,0.042406192344803646,170.09828779101372,True,False
33,700.0,614,20963,0.1,0.03828759723969924,175.59961316600675,True,False
34,770.0,705,21668,0.1,0.0411373845546238,181.9078251250321,True,False
35,830.0,602,22270,0.1,0.03838461761673292,187.13782966602594,True,False
36,490.0,501,22771,0.1,0.04341630104929209,191.55033929098863,True,False
37,1090.0,708,23479,0.1,0.039943333096949564,197.9975172500126,True,False
38,2300.0,930,24409,0.1,0.04083677506785792,206.3644740410382,True,False
39,1680.0,760,25169,0.1,0.041129984905159005,213.07668441603892,True,False
40,450.0,443,25612,0.1,0.04064806970255869,217.16132424998796,True,False
41,630.0,736,26348,0.1,0.04091311546305761,223.96487929101568,True,False
42,450.0,514,26862,0.1,0.042502978998527396,228.69264150003437,True,False
43,500.0,494,27356,0.1,0.04409423337558344,233.00987154099857,True,False
44,590.0,626,27982,0.1,0.042670950311451,238.76330083300127,True,False
45,1260.0,671,28653,0.1,0.04329144711317938,244.8822464160039,True,False
46,940.0,824,29477,0.1,0.04163932814081968,251.89346416603075,True,False
47,360.0,477,29954,0.1,0.04596645536269022,255.9283960830071,True,False
48,1140.0,777,30731,0.1,0.04498146153679214,262.6639503330225,True,False
49,1900.0,672,31403,0.1,0.04607970971015415,268.3538935830002,True,False
50,1250.0,883,32286,0.1,0.04423446548318836,275.8097846250166,True,False
51,430.0,433,32719,0.1,0.04781995610230499,281.16533158300444,True,False
52,840.0,576,33295,0.1,0.04566501381729419,286.3087630000082,True,False
53,410.0,448,33743,0.1,0.043649559516260136,290.3446652080165,True,False
54,380.0,375,34118,0.1,0.038454820956797045,293.5874981250381,True,False
55,420.0,552,34670,0.1,0.049071072273469275,298.07136904099025,True,False
56,3090.0,1384,36054,0.1,0.0433179202948487,309.928716082999,True,False
57,1550.0,767,36821,0.1,0.046694405311427545,316.8742232500226,True,False
58,800.0,613,37434,0.1,0.045797410372376834,322.36859512503725,True,False
59,950.0,560,37994,0.1,0.04259239875245839,327.4348670000327,True,False
60,440.0,419,38413,0.1,0.048716349952987265,331.0959215000039,True,False
61,690.0,481,38894,0.1,0.04841295511772235,335.3969964160351,True,False
62,550.0,596,39490,0.1,0.049583081952952496,340.6681912500062,True,False
63,850.0,786,40276,0.1,0.05111548849286956,348.1373069580295,True,False
64,540.0,497,40773,0.1,0.054360043400177555,352.1346248750342,True,False
65,840.0,601,41374,0.1,0.048014538933833444,357.23037624999415,True,False
